==========================================
SLURM_JOB_ID = 3404566
SLURM_JOB_NODELIST = c03-06
TMPDIR = /tmp/SLURM_3404566
==========================================
/home1/feinashl/anaconda3/bin/python
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] 
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] *****************************************
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] *****************************************
[Sat May  2 08:30:41 2026] host=c03-06.hpc.usc.edu world=2
  variant=att  data_dir=/scratch1/feinashl/data/sudoku-extreme-1k-aug-1000
  out_dir=/scratch1/feinashl/eqlm_sudoku/run-trm-att-7m
  metadata: {'pad_id': 0, 'ignore_label_id': 0, 'blank_identifier_id': 0, 'vocab_size': 11, 'seq_len': 81, 'num_puzzle_identifiers': 1, 'total_groups': 1000, 'mean_puzzle_examples': 1.0, 'total_puzzles': 1000, 'sets': ['all']}
TinyRecursiveReasoningModel_ACTV1(
  (inner): TinyRecursiveReasoningModel_ACTV1_Inner(
    (embed_tokens): CastedEmbedding()
    (lm_head): CastedLinear()
    (q_head): CastedLinear()
    (puzzle_emb): CastedSparseEmbedding()
    (rotary_emb): RotaryEmbedding()
    (L_level): TinyRecursiveReasoningModel_ACTV1ReasoningModule(
      (layers): ModuleList(
        (0-1): 2 x TinyRecursiveReasoningModel_ACTV1Block(
          (self_attn): Attention(
            (qkv_proj): CastedLinear()
            (o_proj): CastedLinear()
          )
          (mlp): SwiGLU(
            (gate_up_proj): CastedLinear()
            (down_proj): CastedLinear()
          )
        )
      )
    )
  )
)
  TRM-att params: 6.828M
  H_cycles=3 L_cycles=6  L_layers=2  halt_max_steps=16
  total optim steps target = 65,104
[Sat May  2 08:30:42 2026] Outer iter 0/10 (epoch=0)
  step=   1300  lm_loss=1.1786  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h53m
  step=   1350  lm_loss=1.1549  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h53m
  step=   1400  lm_loss=1.1346  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h52m
  step=   1450  lm_loss=1.1139  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h52m
  step=   1500  lm_loss=1.0962  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h52m
  step=   1550  lm_loss=1.0763  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h52m
  step=   1600  lm_loss=1.0648  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.5292  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h52m
  step=   1650  lm_loss=1.0884  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h52m
  step=   1700  lm_loss=1.0627  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h51m
  step=   1750  lm_loss=1.0466  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h51m
  step=   1800  lm_loss=1.0291  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h51m
